chip_slug,as_of_date,utilization,utilization_naive,rented_gpus_mean,base_total_gpus,n_cycles,methodology_version
a100-sxm,2026-05-22,0.9011,0.8899,283.3,314,23,v2.3.1
a100-sxm,2026-05-23,0.906,0.8874,284.0,313,23,v2.3.1
a100-sxm,2026-05-24,0.9114,0.8984,286.5,314,23,v2.3.1
a100-sxm,2026-05-25,0.8992,0.8967,280.8,312,23,v2.3.1
a100-sxm,2026-05-26,0.898,0.8946,280.3,312,23,v2.3.1
a100-sxm,2026-05-27,0.8928,0.8886,279.5,313,23,v2.3.1
a100-sxm,2026-05-28,0.8981,0.8895,282.6,314,23,v2.3.1
a100-sxm,2026-05-29,0.9062,0.8905,289.8,317,23,v2.3.1
a100-sxm,2026-05-30,0.8736,0.8895,295.4,337,23,v2.3.1
a100-sxm,2026-05-31,0.8644,0.8726,298.9,345,23,v2.3.1
a100-sxm,2026-06-01,0.8711,0.8731,307.0,352.0,24,v2.3.1
a100-sxm,2026-06-02,0.8546,0.8644,306.9,359,25,v2.3.1
a100-sxm,2026-06-03,0.8608,0.8651,309.9,360.0,26,v2.3.1
a100-sxm,2026-06-04,0.8519,0.8569,308.4,362.0,26,v2.3.1
a100-sxm,2026-06-05,0.8414,0.8445,305.0,362.5,26,v2.3.1
a100-sxm,2026-06-06,0.8279,0.8283,300.1,362.5,26,v2.3.1
a100-sxm,2026-06-07,0.814,0.8047,296.3,364.0,26,v2.3.1
a100-sxm,2026-06-08,0.8169,0.7851,301.2,366.0,26,v2.3.1
a100-sxm,2026-06-09,0.8272,0.7933,313.8,372,25,v2.3.1
a100-sxm,2026-06-10,0.8091,0.7901,315.5,384.0,24,v2.3.1
a100-sxm,2026-06-11,0.819,0.7849,310.7,372,25,v2.3.1
a100-sxm,2026-06-12,0.8082,0.7758,308.0,373.5,24,v2.3.1
a100-sxm,2026-06-13,0.8058,0.7726,309.7,377,23,v2.3.1
a100-sxm,2026-06-14,0.8061,0.7777,306.4,371.5,22,v2.3.1
