as_of_date,scope,n_sources,n_sources_8x,stockout_any_mean,stockout_any_min,stockout_any_max,stockout_8x_mean,n_cycles_median,methodology_version
2026-05-28,geo:EU,4,2,0.8214,0.2857,1.0,1.0,7,v2.0.0
2026-05-28,geo:US,4,3,0.5,0.0,1.0,0.6667,7,v2.0.0
2026-05-28,global,6,3,0.381,0.0,1.0,0.6667,7,v2.0.0
2026-05-28,tier:T1,3,3,0.6667,0.0,1.0,0.6667,7,v2.0.0
2026-05-28,tier:T3,1,0,0.0,0.0,0.0,,7,v2.0.0
2026-05-29,geo:EU,4,2,0.7857,0.1429,1.0,1.0,7,v2.0.0
2026-05-29,geo:US,4,3,0.5,0.0,1.0,0.6667,7,v2.0.0
2026-05-29,global,6,3,0.3571,0.0,1.0,0.6667,7,v2.0.0
2026-05-29,tier:T1,3,3,0.6667,0.0,1.0,0.6667,7,v2.0.0
2026-05-29,tier:T3,1,0,0.0,0.0,0.0,,7,v2.0.0
2026-05-30,geo:EU,4,2,0.775,0.1,1.0,1.0,10,v2.0.0
2026-05-30,geo:US,4,3,0.5,0.0,1.0,0.6667,10,v2.0.0
2026-05-30,global,6,3,0.35,0.0,1.0,0.6667,10,v2.0.0
2026-05-30,tier:T1,3,3,0.6667,0.0,1.0,0.6667,10,v2.0.0
2026-05-30,tier:T3,1,0,0.0,0.0,0.0,,10,v2.0.0
2026-05-31,geo:EU,4,2,0.8056,0.2222,1.0,1.0,9,v2.0.0
2026-05-31,geo:US,4,3,0.5,0.0,1.0,0.6667,9,v2.0.0
2026-05-31,global,6,3,0.3704,0.0,1.0,0.6667,9,v2.0.0
2026-05-31,tier:T1,3,3,0.6667,0.0,1.0,0.6667,9,v2.0.0
2026-05-31,tier:T3,1,0,0.0,0.0,0.0,,9,v2.0.0
2026-06-01,geo:EU,3,2,0.8,0.4,1.0,1.0,5,v2.0.0
2026-06-01,geo:US,3,3,0.7333,0.2,1.0,0.7333,5,v2.0.0
2026-06-01,global,5,3,0.52,0.0,1.0,0.7333,5,v2.0.0
2026-06-01,tier:T1,3,3,0.7333,0.2,1.0,0.7333,5,v2.0.0
2026-06-01,tier:T3,1,0,0.0,0.0,0.0,,5,v2.0.0
2026-06-02,geo:EU,4,2,0.75,0.0,1.0,1.0,6,v2.0.0
2026-06-02,geo:US,5,3,0.6,0.0,1.0,0.7778,6,v2.0.0
2026-06-02,global,6,3,0.3889,0.0,1.0,0.7778,6,v2.0.0
2026-06-02,tier:T1,3,3,0.7778,0.3333,1.0,0.7778,6,v2.0.0
2026-06-02,tier:T3,1,0,0.0,0.0,0.0,,6,v2.0.0
2026-06-03,geo:EU,3,2,0.7333,0.2,1.0,1.0,5,v2.0.0
2026-06-03,geo:US,4,3,0.7,0.0,1.0,0.6667,5,v2.0.0
2026-06-03,global,5,3,0.44,0.0,1.0,0.6667,5,v2.0.0
2026-06-03,tier:T1,3,3,0.6667,0.0,1.0,0.6667,5,v2.0.0
2026-06-03,tier:T3,1,0,0.0,0.0,0.0,,5,v2.0.0
2026-06-04,geo:EU,4,2,0.8438,0.375,1.0,1.0,8,v2.0.0
2026-06-04,geo:US,5,3,0.575,0.125,1.0,0.7083,8,v2.0.0
2026-06-04,global,6,3,0.4375,0.0,1.0,0.7083,8,v2.0.0
2026-06-04,tier:T1,3,3,0.7083,0.125,1.0,0.7083,8,v2.0.0
2026-06-04,tier:T3,1,0,0.0,0.0,0.0,,8,v2.0.0
2026-06-05,geo:EU,4,2,0.8571,0.4286,1.0,1.0,7,v2.0.0
2026-06-05,geo:US,5,3,0.5143,0.0,1.0,0.7143,7,v2.0.0
2026-06-05,global,6,3,0.4286,0.0,1.0,0.7143,7,v2.0.0
2026-06-05,tier:T1,3,3,0.7143,0.1429,1.0,0.7143,7,v2.0.0
2026-06-05,tier:T3,1,0,0.0,0.0,0.0,,7,v2.0.0
2026-06-06,geo:EU,4,2,0.775,0.1,1.0,1.0,10,v2.0.0
2026-06-06,geo:US,5,3,0.5,0.0,1.0,0.8333,10,v2.0.0
2026-06-06,global,6,3,0.4167,0.0,1.0,0.8333,10,v2.0.0
2026-06-06,tier:T1,3,3,0.8333,0.5,1.0,0.8333,10,v2.0.0
2026-06-06,tier:T3,1,0,0.0,0.0,0.0,,10,v2.0.0
2026-06-07,geo:EU,4,2,0.8333,0.3333,1.0,1.0,9,v2.0.0
2026-06-07,geo:US,5,3,0.4222,0.0,1.0,0.7037,9,v2.0.0
2026-06-07,global,6,3,0.3519,0.0,1.0,0.7037,9,v2.0.0
2026-06-07,tier:T1,3,3,0.7037,0.1111,1.0,0.7037,9,v2.0.0
2026-06-07,tier:T3,1,0,0.0,0.0,0.0,,9,v2.0.0
2026-06-08,geo:EU,4,2,0.8214,0.2857,1.0,1.0,7,v2.0.0
2026-06-08,geo:US,4,3,0.5357,0.0,1.0,0.7143,7,v2.0.0
2026-06-08,global,6,3,0.4048,0.0,1.0,0.7143,7,v2.0.0
2026-06-08,tier:T1,3,3,0.7143,0.1429,1.0,0.7143,7,v2.0.0
2026-06-08,tier:T3,1,0,0.0,0.0,0.0,,7,v2.0.0
2026-06-09,geo:EU,3,2,1.0,1.0,1.0,1.0,7,v2.0.0
2026-06-09,geo:US,4,3,0.5714,0.0,1.0,0.7619,7,v2.0.0
2026-06-09,global,5,3,0.4571,0.0,1.0,0.7619,7,v2.0.0
2026-06-09,tier:T1,3,3,0.7619,0.2857,1.0,0.7619,7,v2.0.0
2026-06-09,tier:T3,1,0,0.0,0.0,0.0,,7,v2.0.0
