as_of_date,collected_at,collection_window_id,chip_slug,n_total_sku_region,n_available_now,pct_available,n_providers_carrying,n_providers_with_any_availability,n_distinct_regions,per_gpu_dph_min,per_gpu_dph_p25,per_gpu_dph_p50,per_gpu_dph_p75,per_gpu_dph_p90,per_gpu_dph_max,cheapest_available_provider,cheapest_available_per_gpu_dph,median_boot_min_seconds,median_boot_max_seconds,methodology_version
2026-05-03,2026-05-04 00:43:13.220256,2026-05-03-1800,a100-pcie-80gb,40,4,0.1,4,2,15,1.28,1.28,1.35,1.65,2.6,2.6,Hyperstack,1.35,120.0,240.0,v2.0.0
2026-05-03,2026-05-04 00:49:35.888877,2026-05-03-1800,a100-pcie-80gb,40,4,0.1,4,2,15,1.28,1.28,1.35,1.65,2.6,2.6,Hyperstack,1.35,120.0,240.0,v2.0.0
2026-05-03,2026-05-04 03:45:28.727651,2026-05-03-1800,a100-pcie-80gb,40,4,0.1,4,2,15,1.28,1.28,1.35,1.65,2.6,2.6,Hyperstack,1.35,120.0,240.0,v2.0.0
2026-05-04,2026-05-04 06:45:26.561109,2026-05-03-1800,a100-pcie-80gb,40,7,0.175,4,3,15,1.28,1.28,1.35,1.65,2.6,2.6,Massed Compute,1.28,120.0,240.0,v2.0.0
2026-05-04,2026-05-04 09:45:31.080870,2026-05-03-1800,a100-pcie-80gb,40,6,0.15,4,3,15,1.28,1.28,1.35,1.65,2.6,2.6,Massed Compute,1.28,120.0,240.0,v2.0.0
2026-05-04,2026-05-04 12:48:17.373117,2026-05-04-0600,a100-pcie-80gb,40,4,0.1,4,2,15,1.28,1.28,1.35,1.65,2.6,2.6,Massed Compute,1.28,120.0,240.0,v2.0.0
2026-05-04,2026-05-04 13:15:11.892470,2026-05-04-0600,a100-pcie-80gb,40,4,0.1,4,2,15,1.28,1.28,1.35,1.65,2.6,2.6,Massed Compute,1.28,120.0,240.0,v2.0.0
2026-05-04,2026-05-04 13:45:58.624732,2026-05-04-0600,a100-pcie-80gb,40,4,0.1,4,2,15,1.28,1.28,1.35,1.65,2.6,2.6,Massed Compute,1.28,120.0,240.0,v2.0.0
2026-05-04,2026-05-04 15:45:30.576352,2026-05-04-1000,a100-pcie-80gb,40,1,0.025,4,1,15,1.28,1.28,1.35,1.65,2.6,2.6,Crusoe,1.65,120.0,240.0,v2.0.0
2026-05-04,2026-05-04 18:45:29.460549,2026-05-04-1000,a100-pcie-80gb,40,2,0.05,4,2,15,1.28,1.28,1.35,1.65,2.6,2.6,Hyperstack,1.35,120.0,240.0,v2.0.0
2026-05-04,2026-05-04 21:45:29.789990,2026-05-04-1400,a100-pcie-80gb,40,1,0.025,4,1,15,1.28,1.28,1.35,1.65,2.6,2.6,Hyperstack,1.35,120.0,240.0,v2.0.0
2026-05-04,2026-05-05 00:45:27.706221,2026-05-04-1800,a100-pcie-80gb,40,4,0.1,4,2,15,1.28,1.28,1.35,1.65,2.6,2.6,Massed Compute,1.28,120.0,240.0,v2.0.0
2026-05-04,2026-05-05 03:45:29.977541,2026-05-04-1800,a100-pcie-80gb,40,2,0.05,4,2,15,1.28,1.28,1.35,1.65,2.6,2.6,Hyperstack,1.35,120.0,240.0,v2.0.0
2026-05-05,2026-05-05 06:45:29.548907,2026-05-04-1800,a100-pcie-80gb,40,2,0.05,4,2,15,1.28,1.28,1.35,1.65,2.6,2.6,Massed Compute,1.28,120.0,240.0,v2.0.0
2026-05-05,2026-05-05 09:45:35.926729,2026-05-04-1800,a100-pcie-80gb,40,1,0.025,4,1,15,1.28,1.28,1.35,1.65,2.6,2.6,Crusoe,1.65,120.0,240.0,v2.0.0
2026-05-05,2026-05-05 12:45:33.296550,2026-05-05-0600,a100-pcie-80gb,40,2,0.05,4,2,15,1.28,1.28,1.35,1.65,2.6,2.6,Massed Compute,1.28,120.0,240.0,v2.0.0
2026-05-05,2026-05-05 15:45:28.119976,2026-05-05-1000,a100-pcie-80gb,40,5,0.125,4,3,15,1.28,1.28,1.35,1.65,2.6,2.6,Massed Compute,1.28,120.0,240.0,v2.0.0
2026-05-05,2026-05-05 18:45:28.603789,2026-05-05-1000,a100-pcie-80gb,40,2,0.05,4,1,15,1.28,1.28,1.35,1.65,2.6,2.6,Crusoe,1.65,120.0,240.0,v2.0.0
2026-05-05,2026-05-05 21:45:26.795910,2026-05-05-1400,a100-pcie-80gb,40,5,0.125,4,3,15,1.28,1.28,1.35,1.65,2.6,2.6,Massed Compute,1.28,120.0,240.0,v2.0.0
2026-05-05,2026-05-06 00:45:27.298985,2026-05-05-1800,a100-pcie-80gb,40,4,0.1,4,2,15,1.28,1.28,1.35,1.65,2.6,2.6,Hyperstack,1.35,120.0,240.0,v2.0.0
