as_of_date,collected_at,collection_window_id,chip_slug,n_total_sku_region,n_available_now,pct_available,n_providers_carrying,n_providers_with_any_availability,n_distinct_regions,per_gpu_dph_min,per_gpu_dph_p25,per_gpu_dph_p50,per_gpu_dph_p75,per_gpu_dph_p90,per_gpu_dph_max,cheapest_available_provider,cheapest_available_per_gpu_dph,median_boot_min_seconds,median_boot_max_seconds,methodology_version
2026-06-15,2026-06-15T19:25:47.646839+00:00,2026-06-15-1400,a100-pcie-80gb,40,3,0.075,4,2,15,1.35,1.35,1.375,1.65,2.6,2.6,Hyperstack,1.35,120.0,240.0,v2.0.0
2026-06-15,2026-06-15T19:37:51.349076+00:00,2026-06-15-1400,a100-pcie-80gb,40,3,0.075,4,2,15,1.35,1.35,1.375,1.65,2.6,2.6,Hyperstack,1.35,120.0,240.0,v2.0.0
2026-06-16,2026-06-16T06:18:57.892436+00:00,2026-06-15-1800,a100-pcie-80gb,40,5,0.125,4,3,15,1.35,1.35,1.375,1.65,2.6,2.6,Hyperstack,1.35,120.0,240.0,v2.0.0
2026-06-16,2026-06-16T12:00:01.436101+00:00,2026-06-16-0600,a100-pcie-80gb,40,6,0.15,4,3,15,1.35,1.35,1.375,1.65,2.6,2.6,Hyperstack,1.35,120.0,240.0,v2.0.0
2026-06-16,2026-06-16T17:41:24.033711+00:00,2026-06-16-1000,a100-pcie-80gb,40,6,0.15,4,3,15,1.35,1.35,1.375,1.65,2.6,2.6,Hyperstack,1.35,120.0,240.0,v2.0.0
2026-06-16,2026-06-16T21:37:16.220076+00:00,2026-06-16-1400,a100-pcie-80gb,40,5,0.125,4,3,15,1.35,1.35,1.375,1.65,2.6,2.6,Hyperstack,1.35,120.0,240.0,v2.0.0
2026-06-17,2026-06-17T05:31:50.987524+00:00,2026-06-16-1800,a100-pcie-80gb,40,2,0.05,4,2,15,1.35,1.35,1.375,1.65,2.6,2.6,Hyperstack,1.35,120.0,240.0,v2.0.0
2026-06-17,2026-06-17T11:25:15.079396+00:00,2026-06-17-0600,a100-pcie-80gb,40,3,0.075,4,3,15,1.35,1.35,1.375,1.65,2.6,2.6,Hyperstack,1.35,120.0,240.0,v2.0.0
2026-06-17,2026-06-17T16:31:39.398503+00:00,2026-06-17-1000,a100-pcie-80gb,40,3,0.075,4,1,15,1.35,1.35,1.375,1.65,2.6,2.6,Crusoe,1.65,120.0,240.0,v2.0.0
2026-06-17,2026-06-17T20:58:04.502399+00:00,2026-06-17-1400,a100-pcie-80gb,40,3,0.075,4,2,15,1.35,1.35,1.375,1.65,2.6,2.6,Massed Compute,1.35,120.0,240.0,v2.0.0
2026-06-18,2026-06-18T05:25:15.430666+00:00,2026-06-17-1800,a100-pcie-80gb,40,3,0.075,4,2,15,1.35,1.35,1.375,1.65,2.6,2.6,Hyperstack,1.35,120.0,240.0,v2.0.0
2026-06-18,2026-06-18T11:03:42.130638+00:00,2026-06-18-0600,a100-pcie-80gb,40,3,0.075,4,2,15,1.35,1.35,1.375,1.65,2.6,2.6,Hyperstack,1.35,120.0,240.0,v2.0.0
2026-06-18,2026-06-18T16:10:51.582893+00:00,2026-06-18-1000,a100-pcie-80gb,40,2,0.05,4,2,15,1.35,1.35,1.375,1.65,2.6,2.6,Massed Compute,1.35,120.0,240.0,v2.0.0
2026-06-18,2026-06-18T21:16:21.835598+00:00,2026-06-18-1400,a100-pcie-80gb,40,3,0.075,4,1,15,1.35,1.35,1.375,1.65,2.6,2.6,Crusoe,1.65,120.0,240.0,v2.0.0
2026-06-19,2026-06-19T05:39:50.354912+00:00,2026-06-18-1800,a100-pcie-80gb,40,5,0.125,4,3,15,1.35,1.35,1.375,1.65,2.6,2.6,Hyperstack,1.35,120.0,240.0,v2.0.0
2026-06-19,2026-06-19T11:08:29.806865+00:00,2026-06-19-0600,a100-pcie-80gb,40,5,0.125,4,3,15,1.35,1.35,1.375,1.65,2.6,2.6,Hyperstack,1.35,120.0,240.0,v2.0.0
2026-06-19,2026-06-19T15:55:42.540278+00:00,2026-06-19-1000,a100-pcie-80gb,40,2,0.05,4,1,15,1.35,1.35,1.375,1.65,2.6,2.6,Crusoe,1.65,120.0,240.0,v2.0.0
2026-06-19,2026-06-19T20:24:19.786350+00:00,2026-06-19-1400,a100-pcie-80gb,40,4,0.1,4,2,15,1.35,1.35,1.375,1.65,2.6,2.6,Massed Compute,1.35,120.0,240.0,v2.0.0
2026-06-20,2026-06-20T05:01:13.596254+00:00,2026-06-19-1800,a100-pcie-80gb,40,2,0.05,4,1,15,1.35,1.35,1.375,1.65,2.6,2.6,Crusoe,1.65,120.0,240.0,v2.0.0
