as_of_date,source_name,silicon_id,gpu_model,gpu_variant,form_factor,interconnect_substrate,commitment_term,interruptibility,deployment_class,region,region_country,factory_type,tier_v3,operator_tier,price_usd_per_hour,bundled,bundled_inclusions,availability_state,methodology_version,source_status,region_raw
2026-07-02,oci,gb300-nvl-nvl,GB300,NVL,NVL-Rack,RoCE-v2,OnDemand,NonInterruptible,OnDemand,US-East,US,HIF,T1IF,T1,18.0000,True,local-nvme;egress-capped;managed-ops-plane;support-tier;observability,Available,v2.2.1,panel,us-ashburn-1
2026-07-03,oci,gb300-nvl-nvl,GB300,NVL,NVL-Rack,RoCE-v2,OnDemand,NonInterruptible,OnDemand,US-East,US,HIF,T1IF,T1,18.0000,True,local-nvme;egress-capped;managed-ops-plane;support-tier;observability,Available,v2.2.1,panel,us-ashburn-1
2026-07-04,oci,gb300-nvl-nvl,GB300,NVL,NVL-Rack,RoCE-v2,OnDemand,NonInterruptible,OnDemand,US-East,US,HIF,T1IF,T1,18.0000,True,local-nvme;egress-capped;managed-ops-plane;support-tier;observability,Available,v2.2.1,panel,us-ashburn-1
2026-07-05,oci,gb300-nvl-nvl,GB300,NVL,NVL-Rack,RoCE-v2,OnDemand,NonInterruptible,OnDemand,US-East,US,HIF,T1IF,T1,18.0000,True,local-nvme;egress-capped;managed-ops-plane;support-tier;observability,Available,v2.2.1,panel,us-ashburn-1
2026-07-06,oci,gb300-nvl-nvl,GB300,NVL,NVL-Rack,RoCE-v2,OnDemand,NonInterruptible,OnDemand,US-East,US,HIF,T1IF,T1,18.0000,True,local-nvme;egress-capped;managed-ops-plane;support-tier;observability,Available,v2.2.1,panel,us-ashburn-1
2026-07-07,oci,gb300-nvl-nvl,GB300,NVL,NVL-Rack,RoCE-v2,OnDemand,NonInterruptible,OnDemand,US-East,US,HIF,T1IF,T1,18.0000,True,local-nvme;egress-capped;managed-ops-plane;support-tier;observability,Available,v2.2.1,panel,us-ashburn-1
2026-07-08,oci,gb300-nvl-nvl,GB300,NVL,NVL-Rack,RoCE-v2,OnDemand,NonInterruptible,OnDemand,US-East,US,HIF,T1IF,T1,18.0000,True,local-nvme;egress-capped;managed-ops-plane;support-tier;observability,Available,v2.2.1,panel,us-ashburn-1
2026-07-09,oci,gb300-nvl-nvl,GB300,NVL,NVL-Rack,RoCE-v2,OnDemand,NonInterruptible,OnDemand,US-East,US,HIF,T1IF,T1,18.0000,True,local-nvme;egress-capped;managed-ops-plane;support-tier;observability,Available,v2.2.1,panel,us-ashburn-1
2026-07-10,oci,gb300-nvl-nvl,GB300,NVL,NVL-Rack,RoCE-v2,OnDemand,NonInterruptible,OnDemand,US-East,US,HIF,T1IF,T1,18.0000,True,local-nvme;egress-capped;managed-ops-plane;support-tier;observability,Available,v2.2.1,panel,us-ashburn-1
2026-07-11,oci,gb300-nvl-nvl,GB300,NVL,NVL-Rack,RoCE-v2,OnDemand,NonInterruptible,OnDemand,US-East,US,HIF,T1IF,T1,18.0000,True,local-nvme;egress-capped;managed-ops-plane;support-tier;observability,Available,v2.2.1,panel,us-ashburn-1
