geolocation,n_offers,median_per_gpu_dph
"Delaware, US",11,0.4022222222222222
"Romania, RO",9,0.44055555555555553
"Virginia, US",8,0.46154166666666674
"Kansas, US",4,0.40083333333333326
"California, US",2,0.41500000000000004
"France, FR",2,0.46185185185185185
"Illinois, US",2,0.5083333333333333
"India, IN",2,0.4151851851851852
"Italy, IT",2,0.37555555555555553
"Slovakia, SK",2,0.35462962962962963
"South Korea, KR",2,0.28722222222222227
"Texas, US",2,0.4544444444444445
"Finland, FI",1,0.3677777777777778
"Hawaii, US",1,0.46888888888888886
"North Carolina, US",1,0.389037037037037
"Slovenia, SI",1,0.48055555555555557
"Utah, US",1,0.38785185185185184
