as_of_date,collected_at,collection_window_id,gpu_name,silicon_id,n_offers,per_gpu_dph_min,per_gpu_dph_p10,per_gpu_dph_p25,per_gpu_dph_p50,per_gpu_dph_p75,per_gpu_dph_p90,per_gpu_dph_max,min_bid_p50,n_verified,n_deverified,n_other_verification,median_verified,median_deverified,n_1x,n_2x,n_4x,n_8x,n_other_multigpu,reliability_p25,reliability_p50,reliability_p75,inet_down_p50_mbps,inet_down_p75_mbps,inet_up_p50_mbps,egress_cost_per_tb_p50,storage_cost_per_gb_mo_p50,methodology_version
2026-06-15,2026-06-15T19:25:30.538391+00:00,2026-06-15-1400,A100 SXM4,a100-sxm-80gb,149,0.4003703703703703,0.7335185185185186,0.9870370370370369,1.6059259259259258,3.4696296296296296,5.450666666666676,10.044444444444443,1.4,121,10,18,1.734074074074074,1.5747592592592594,46,39,35,26,3,0.9850672,0.9942746,0.9977231,3186.0,6865.0,2150.6,2.6666666666666665,0.19999999999999998,v2.0.0
2026-06-15,2026-06-15T19:36:38.344906+00:00,2026-06-15-1400,A100 SXM4,a100-sxm-80gb,149,0.4003703703703703,0.7335185185185186,0.9870370370370369,1.6018518518518516,3.2074074074074073,5.338962962962963,10.044444444444443,1.334,121,10,18,1.6818518518518517,1.5757777777777777,46,39,36,26,2,0.9852637,0.9942203,0.9977231,3879.2,6865.0,2150.6,2.6666666666666665,0.19999999999999998,v2.0.0
2026-06-16,2026-06-16T06:18:10.099917+00:00,2026-06-15-1800,A100 SXM4,a100-sxm-80gb,145,0.36822222222222223,0.7257407407407408,0.934716049382716,1.6037037037037036,3.2074074074074073,4.934933333333332,10.044444444444443,1.3333335,123,7,15,1.734074074074074,1.066851851851852,46,36,34,26,3,0.9854933,0.9944581,0.9977429,3041.9,7017.2,2145.2,2.6666666666666665,0.19999999999999998,v2.0.0
2026-06-16,2026-06-16T11:59:27.901135+00:00,2026-06-16-0600,A100 SXM4,a100-sxm-80gb,149,0.4003703703703703,0.6960000000000001,0.9611111111111111,1.6037037037037036,3.2148148148148143,5.878518518518519,10.044444444444443,1.3333335,126,7,16,1.8026296296296296,1.066851851851852,48,39,34,25,3,0.9855184,0.9944942,0.9977296,3392.9,7051.9,2145.2,2.6666666666666665,0.19999999999999998,v2.0.0
2026-06-16,2026-06-16T17:40:36.680090+00:00,2026-06-16-1000,A100 SXM4,a100-sxm-80gb,153,0.4003703703703703,0.7231481481481483,1.0002777777777778,1.6059259259259258,3.228623282962962,5.287407407407411,10.044444444444443,1.3995000000000002,131,7,15,1.8708148148148147,1.066851851851852,46,41,35,28,3,0.9883257,0.9953601,0.9977395,3392.9,6920.0,2154.9,2.6666666666666665,0.19999999999999998,v2.0.0
2026-06-16,2026-06-16T21:36:53.252363+00:00,2026-06-16-1400,A100 SXM4,a100-sxm-80gb,151,0.4003703703703703,0.6688888888888889,0.9806944444444445,1.6037037037037036,3.342222222222222,5.343703703703704,10.044444444444443,1.36,127,11,13,1.734074074074074,2.134074074074074,46,40,34,28,3,0.9887828,0.9953925,0.997746,4170.4,6918.799999999999,2165.3,2.6666666666666665,0.19999999999999998,v2.0.0
2026-06-17,2026-06-17T11:25:01.380639+00:00,2026-06-17-0600,A100 SXM4,a100-sxm-80gb,143,0.4003703703703703,0.7335185185185187,1.0323745386241152,1.6371799407407406,3.6644444444444444,5.878518518518519,10.044444444444443,1.334,126,7,10,1.7342592592592592,1.8888888888888886,44,39,32,26,2,0.9872962,0.9955022,0.997768,4294.4,7401.1,2287.7,2.6666666666666665,0.19999999999999998,v2.0.0
2026-06-17,2026-06-17T16:30:33.321296+00:00,2026-06-17-1000,A100 SXM4,a100-sxm-80gb,146,0.4003703703703703,0.7335185185185186,1.0345797222222224,1.6027777777777776,3.211851851851851,5.477777777777778,10.044444444444443,1.347,121,12,13,1.734074074074074,1.7448148148148146,45,40,33,26,2,0.9883461,0.9955402,0.9977919,4280.549999999999,7262.824999999999,2145.85,2.6666666666666665,0.19999999999999998,v2.0.0
2026-06-17,2026-06-17T20:57:10.227751+00:00,2026-06-17-1400,A100 SXM4,a100-sxm-80gb,146,0.4003703703703703,0.7335185185185186,1.0032916666666667,1.6027777777777776,3.195888888888889,5.047407407407407,10.044444444444443,1.3333334166666666,121,11,14,1.734074074074074,1.6007407407407406,44,40,34,26,2,0.988363675,0.9948099,0.9977306,4238.2,7164.900000000001,2117.0,2.6666666666666665,0.19999999999999998,v2.0.0
2026-06-18,2026-06-18T05:24:54.723017+00:00,2026-06-17-1800,A100 SXM4,a100-sxm-80gb,150,0.4003703703703703,0.7310555555555557,1.057236111111111,1.6027777777777776,3.2029629629629626,5.87851851851852,12.757333333333332,1.379999975,126,10,14,1.8024444444444443,2.054259259259259,46,41,35,27,1,0.9886323,0.9955003,0.9977316,4032.8,7328.2,2049.4,2.6666666666666665,0.19999999999999998,v2.0.0
2026-06-18,2026-06-18T11:03:17.105806+00:00,2026-06-18-0600,A100 SXM4,a100-sxm-80gb,142,0.2815555555555553,0.7113518518518519,0.9542361111111111,1.5803629629629627,3.0456032962962962,4.804829629629629,10.044444444444443,1.367,125,7,10,1.6818518518518517,1.6007407407407406,44,38,32,25,3,0.9884360249999999,0.9956709,0.997771925,4416.3,7317.4,2120.8,2.6666666666666665,0.19999999999999998,v2.0.0
2026-06-18,2026-06-18T16:09:34.857098+00:00,2026-06-18-1000,A100 SXM4,a100-sxm-80gb,141,0.4003703703703703,0.7088888888888889,1.0002777777777778,1.6007407407407406,3.2148148148148143,5.878518518518519,10.675555555555555,1.3333335,126,6,9,1.707962962962963,1.8030555555555554,44,37,33,25,2,0.9878852,0.9949466,0.9977367,4404.8,7187.6,2166.2,2.6666666666666665,0.19999999999999998,v2.0.0
