as_of_date,collected_at,collection_window_id,source_name,source_display_name,silicon_id,gpu_model,form_factor,commitment_term,interruptibility,region,cheapest_usd_hour,median_usd_hour,n_listings,methodology_version
2026-07-11,2026-07-11T10:09:52.050465+00:00,2026-07-10-1800,runpod_cluster,RunPod · Cluster,h200-sxm-141gb,H200,SXM,OnDemand,NonInterruptible,Other,5.2680,,,v2.0.0
2026-07-11,2026-07-11T10:09:52.050465+00:00,2026-07-10-1800,runpod_community,RunPod · Community,h200-sxm-141gb,H200,SXM,OnDemand,NonInterruptible,Other,3.5900,,,v2.0.0
2026-07-11,2026-07-11T10:09:52.050465+00:00,2026-07-10-1800,runpod_secure,RunPod · Secure,h200-sxm-141gb,H200,SXM,1Y,NonInterruptible,Other,3.7300,,,v2.0.0
2026-07-11,2026-07-11T10:09:52.050465+00:00,2026-07-10-1800,runpod_secure,RunPod · Secure,h200-sxm-141gb,H200,SXM,3M,NonInterruptible,Other,4.1300,,,v2.0.0
2026-07-11,2026-07-11T10:09:52.050465+00:00,2026-07-10-1800,runpod_secure,RunPod · Secure,h200-sxm-141gb,H200,SXM,6M,NonInterruptible,Other,3.8200,,,v2.0.0
2026-07-11,2026-07-11T10:09:52.050465+00:00,2026-07-10-1800,runpod_secure,RunPod · Secure,h200-sxm-141gb,H200,SXM,OnDemand,NonInterruptible,Other,4.3900,,,v2.0.0
2026-07-11,2026-07-11T13:00:26.224330+00:00,2026-07-11-0600,runpod_cluster,RunPod · Cluster,h200-sxm-141gb,H200,SXM,OnDemand,NonInterruptible,Other,5.2680,,,v2.0.0
2026-07-11,2026-07-11T13:00:26.224330+00:00,2026-07-11-0600,runpod_community,RunPod · Community,h200-sxm-141gb,H200,SXM,OnDemand,NonInterruptible,Other,3.5900,,,v2.0.0
2026-07-11,2026-07-11T13:00:26.224330+00:00,2026-07-11-0600,runpod_secure,RunPod · Secure,h200-sxm-141gb,H200,SXM,1Y,NonInterruptible,Other,3.7300,,,v2.0.0
2026-07-11,2026-07-11T13:00:26.224330+00:00,2026-07-11-0600,runpod_secure,RunPod · Secure,h200-sxm-141gb,H200,SXM,3M,NonInterruptible,Other,4.1300,,,v2.0.0
