as_of_date,collected_at,collection_window_id,gpu_name,silicon_id,n_offers,per_gpu_dph_min,per_gpu_dph_p10,per_gpu_dph_p25,per_gpu_dph_p50,per_gpu_dph_p75,per_gpu_dph_p90,per_gpu_dph_max,min_bid_p50,n_verified,n_deverified,n_other_verification,median_verified,median_deverified,n_1x,n_2x,n_4x,n_8x,n_other_multigpu,reliability_p25,reliability_p50,reliability_p75,inet_down_p50_mbps,inet_down_p75_mbps,inet_up_p50_mbps,egress_cost_per_tb_p50,storage_cost_per_gb_mo_p50,methodology_version
2026-06-15,2026-06-15T19:25:30.538391+00:00,2026-06-15-1400,RTX A6000,a6000-pcie-48gb,65,0.306,0.3869814814814815,0.40148148148148144,0.7377777777777779,1.2433333333333334,2.1537777777777785,3.2177777777777776,0.6405000000000001,41,8,16,0.7744444444444444,0.9822222222222221,20,20,14,7,4,0.9824722,0.993312,0.998163,876.2,2143.6,608.1,2.6666666666666665,0.19999999999999998,v2.0.0
2026-06-15,2026-06-15T19:36:38.344906+00:00,2026-06-15-1400,RTX A6000,a6000-pcie-48gb,65,0.2948148148148148,0.3869814814814815,0.40148148148148144,0.7377777777777779,1.2066666666666668,2.1537777777777785,3.2177777777777776,0.602112,41,8,16,0.7477777777777778,0.9822222222222221,20,20,13,7,5,0.9828592,0.993312,0.9985299,876.2,2143.6,608.1,2.6666666666666665,0.19999999999999998,v2.0.0
2026-06-16,2026-06-16T06:18:10.099917+00:00,2026-06-15-1800,RTX A6000,a6000-pcie-48gb,69,0.306,0.3870185185185185,0.40148148148148144,0.677037037037037,1.1633333333333333,1.6711111111111117,3.2177777777777776,0.54,40,13,16,0.7442592592592593,0.801111111111111,22,21,15,7,4,0.981611,0.9952345,0.9986254,882.5,2129.7,786.9,2.6666666666666665,0.19999999999999998,v2.0.0
2026-06-16,2026-06-16T11:59:27.901135+00:00,2026-06-16-0600,RTX A6000,a6000-pcie-48gb,69,0.2948148148148148,0.3842777777777778,0.40148148148148144,0.7377777777777779,1.2433333333333334,1.6640000000000006,3.2177777777777776,0.56,41,12,16,0.7744444444444444,0.9822222222222221,22,20,15,7,5,0.9815291,0.9937976,0.9986411,888.0,1978.8,753.4,2.6666666666666665,0.19999999999999998,v2.0.0
2026-06-16,2026-06-16T17:40:36.680090+00:00,2026-06-16-1000,RTX A6000,a6000-pcie-48gb,70,0.2948148148148148,0.38702777777777775,0.40453703703703703,0.7392592592592593,1.1958333333333333,1.6097777777777778,3.2177777777777776,0.5680000000000001,42,12,16,0.7877777777777777,0.9822222222222221,22,22,15,7,4,0.9817038,0.9950074,0.9986574,857.7,1826.9,673.3,2.6666666666666665,0.19999999999999998,v2.0.0
2026-06-16,2026-06-16T21:36:53.252363+00:00,2026-06-16-1400,RTX A6000,a6000-pcie-48gb,70,0.306,0.3856111111111111,0.40453703703703703,0.7074074074074075,1.100277777777778,1.6044444444444443,3.2177777777777776,0.55,46,8,16,0.7611111111111111,0.9822222222222221,21,22,15,7,5,0.98326725,0.9951086,0.9987758250000001,875.2,1876.3,673.3,2.6666666666666665,0.19999999999999998,v2.0.0
2026-06-17,2026-06-17T11:25:01.380639+00:00,2026-06-17-0600,RTX A6000,a6000-pcie-48gb,70,0.306,0.38702777777777775,0.40148148148148144,0.6648611111111111,1.2233333333333334,1.9293333333333338,3.2177777777777776,0.55,42,12,16,0.7407407407407408,0.9822222222222221,22,21,15,7,5,0.9818466,0.9953274,0.9988283250000001,861.9000000000001,1962.0,662.2,2.6666666666666665,0.19999999999999998,v2.0.0
2026-06-17,2026-06-17T16:30:33.321296+00:00,2026-06-17-1000,RTX A6000,a6000-pcie-48gb,69,0.306,0.3842777777777778,0.41370370370370363,0.7377777777777779,1.2433333333333334,1.6640000000000006,3.2177777777777776,0.56,41,12,16,0.7477777777777778,0.9822222222222221,22,21,15,7,4,0.9832393,0.9953791,0.9988867,857.7,2031.3,656.1,2.6666666666666665,0.19999999999999998,v2.0.0
2026-06-17,2026-06-17T20:57:10.227751+00:00,2026-06-17-1400,RTX A6000,a6000-pcie-48gb,69,0.306,0.3870185185185185,0.40148148148148144,0.7407407407407408,1.2833333333333334,1.9742222222222234,3.2177777777777776,0.6405000000000001,41,12,16,0.7744444444444444,0.9822222222222221,22,20,15,7,5,0.9832588,0.9953942,0.9987124,835.1,2090.2,665.9,2.6666666666666665,0.19999999999999998,v2.0.0
2026-06-18,2026-06-18T05:24:54.723017+00:00,2026-06-17-1800,RTX A6000,a6000-pcie-48gb,66,0.306,0.38722222222222225,0.4138888888888888,0.7033333333333334,1.2233333333333334,1.7466666666666666,3.2177777777777776,0.5680000000000001,42,8,16,0.7442592592592593,0.9822222222222221,20,21,14,7,4,0.982308375,0.99483265,0.9987213,853.7,2090.2,574.55,2.6666666666666665,0.19999999999999998,v2.0.0
2026-06-18,2026-06-18T11:03:17.105806+00:00,2026-06-18-0600,RTX A6000,a6000-pcie-48gb,65,0.306,0.3869814814814815,0.41370370370370363,0.7377777777777779,1.1633333333333333,1.7742222222222224,3.2177777777777776,0.602112,41,8,16,0.7744444444444444,0.9822222222222221,19,21,14,7,4,0.9820113,0.9942633,0.9987285,866.1,2114.1,659.6,2.6666666666666665,0.19999999999999998,v2.0.0
2026-06-18,2026-06-18T16:09:34.857098+00:00,2026-06-18-1000,RTX A6000,a6000-pcie-48gb,67,0.306,0.38725925925925925,0.41407407407407404,0.7407407407407408,1.2633333333333334,2.063999999999999,3.2177777777777776,0.6,39,12,16,0.801111111111111,0.9822222222222221,21,21,14,7,4,0.9821762,0.9942844,0.99869585,883.2,2135.8,675.1,2.6666666666666665,0.19999999999999998,v2.0.0
2026-06-18,2026-06-18T21:15:00.843988+00:00,2026-06-18-1400,RTX A6000,a6000-pcie-48gb,66,0.306,0.3869907407407407,0.40453703703703703,0.7033333333333334,1.1069444444444445,1.7466666666666666,3.2177777777777776,0.56,42,8,16,0.7442592592592593,0.9822222222222221,20,20,14,7,5,0.982870675,0.9948902,0.998896075,874.6500000000001,2164.2,675.1,2.6666666666666665,0.19999999999999998,v2.0.0
