as_of_date,scope,n_sources,n_sources_8x,stockout_any_mean,stockout_any_min,stockout_any_max,stockout_8x_mean,n_cycles_median,methodology_version
2026-05-28,geo:EU,1,1,0.0,0.0,0.0,0.0,7,v2.0.0
2026-05-28,geo:US,3,2,0.6667,0.1429,1.0,0.9286,7,v2.0.0
2026-05-28,global,3,2,0.381,0.0,1.0,0.5,7,v2.0.0
2026-05-28,tier:T1,2,2,0.5,0.0,1.0,0.5,7,v2.0.0
2026-05-29,geo:EU,1,1,0.7143,0.7143,0.7143,0.7143,7,v2.0.0
2026-05-29,geo:US,3,2,0.619,0.1429,1.0,0.8571,7,v2.0.0
2026-05-29,global,3,2,0.619,0.1429,1.0,0.8571,7,v2.0.0
2026-05-29,tier:T1,2,2,0.8571,0.7143,1.0,0.8571,7,v2.0.0
2026-05-30,geo:EU,1,1,0.4,0.4,0.4,0.4,10,v2.0.0
2026-05-30,geo:US,3,2,0.4667,0.0,1.0,0.7,10,v2.0.0
2026-05-30,global,3,2,0.4667,0.0,1.0,0.7,10,v2.0.0
2026-05-30,tier:T1,2,2,0.7,0.4,1.0,0.7,10,v2.0.0
2026-05-31,geo:EU,1,1,0.8889,0.8889,0.8889,0.8889,9,v2.0.0
2026-05-31,geo:US,2,2,0.5,0.0,1.0,0.5,9,v2.0.0
2026-05-31,global,3,2,0.4815,0.0,1.0,0.5,9,v2.0.0
2026-05-31,tier:T1,2,2,0.5,0.0,1.0,0.5,9,v2.0.0
2026-06-01,geo:EU,1,1,1.0,1.0,1.0,1.0,5,v2.0.0
2026-06-01,geo:US,3,2,0.4,0.0,1.0,0.5,5,v2.0.0
2026-06-01,global,3,2,0.4,0.0,1.0,0.5,5,v2.0.0
2026-06-01,tier:T1,2,2,0.5,0.0,1.0,0.5,5,v2.0.0
2026-06-02,geo:EU,1,1,1.0,1.0,1.0,1.0,6,v2.0.0
2026-06-02,geo:US,3,2,0.6667,0.0,1.0,1.0,6,v2.0.0
2026-06-02,global,3,2,0.6667,0.0,1.0,1.0,6,v2.0.0
2026-06-02,tier:T1,2,2,1.0,1.0,1.0,1.0,6,v2.0.0
2026-06-03,geo:EU,1,1,1.0,1.0,1.0,1.0,5,v2.0.0
2026-06-03,geo:US,3,2,0.7333,0.2,1.0,1.0,5,v2.0.0
2026-06-03,global,3,2,0.7333,0.2,1.0,1.0,5,v2.0.0
2026-06-03,tier:T1,2,2,1.0,1.0,1.0,1.0,5,v2.0.0
2026-06-04,geo:EU,1,1,1.0,1.0,1.0,1.0,8,v2.0.0
2026-06-04,geo:US,3,2,0.7083,0.125,1.0,1.0,8,v2.0.0
2026-06-04,global,3,2,0.7083,0.125,1.0,1.0,8,v2.0.0
2026-06-04,tier:T1,2,2,1.0,1.0,1.0,1.0,8,v2.0.0
2026-06-05,geo:EU,1,1,0.4286,0.4286,0.4286,0.4286,7,v2.0.0
2026-06-05,geo:US,3,2,0.7143,0.1429,1.0,1.0,7,v2.0.0
2026-06-05,global,3,2,0.5238,0.1429,1.0,0.7143,7,v2.0.0
2026-06-05,tier:T1,2,2,0.7143,0.4286,1.0,0.7143,7,v2.0.0
2026-06-06,geo:EU,1,1,0.0,0.0,0.0,0.0,10,v2.0.0
2026-06-06,geo:US,3,2,0.7,0.1,1.0,1.0,10,v2.0.0
2026-06-06,global,3,2,0.3667,0.0,1.0,0.5,10,v2.0.0
2026-06-06,tier:T1,2,2,0.5,0.0,1.0,0.5,10,v2.0.0
2026-06-07,geo:EU,1,1,0.1111,0.1111,0.1111,0.1111,9,v2.0.0
2026-06-07,geo:US,3,2,0.7037,0.1111,1.0,1.0,9,v2.0.0
2026-06-07,global,3,2,0.4074,0.1111,1.0,0.5556,9,v2.0.0
2026-06-07,tier:T1,2,2,0.5556,0.1111,1.0,0.5556,9,v2.0.0
2026-06-08,geo:EU,1,1,0.8571,0.8571,0.8571,0.8571,7,v2.0.0
2026-06-08,geo:US,3,2,0.6667,0.0,1.0,1.0,7,v2.0.0
2026-06-08,global,3,2,0.619,0.0,1.0,0.9286,7,v2.0.0
2026-06-08,tier:T1,2,2,0.9286,0.8571,1.0,0.9286,7,v2.0.0
2026-06-09,geo:EU,1,1,1.0,1.0,1.0,1.0,7,v2.0.0
2026-06-09,geo:US,3,2,0.6667,0.0,1.0,1.0,7,v2.0.0
2026-06-09,global,3,2,0.6667,0.0,1.0,1.0,7,v2.0.0
2026-06-09,tier:T1,2,2,1.0,1.0,1.0,1.0,7,v2.0.0
2026-06-10,geo:EU,1,1,1.0,1.0,1.0,1.0,7,v2.0.0
2026-06-10,geo:US,3,2,0.6667,0.0,1.0,1.0,7,v2.0.0
2026-06-10,global,3,2,0.6667,0.0,1.0,1.0,7,v2.0.0
2026-06-10,tier:T1,2,2,1.0,1.0,1.0,1.0,7,v2.0.0
2026-06-11,geo:EU,1,1,0.8571,0.8571,0.8571,0.8571,7,v2.0.0
2026-06-11,geo:US,3,2,0.6667,0.0,1.0,1.0,7,v2.0.0
2026-06-11,global,3,2,0.619,0.0,1.0,0.9286,7,v2.0.0
2026-06-11,tier:T1,2,2,0.9286,0.8571,1.0,0.9286,7,v2.0.0
2026-06-12,geo:EU,1,1,1.0,1.0,1.0,1.0,7,v2.0.0
2026-06-12,geo:US,3,2,0.6667,0.0,1.0,1.0,7,v2.0.0
2026-06-12,global,3,2,0.6667,0.0,1.0,1.0,7,v2.0.0
2026-06-12,tier:T1,2,2,1.0,1.0,1.0,1.0,7,v2.0.0
2026-06-13,geo:EU,1,1,1.0,1.0,1.0,1.0,9,v2.0.0
2026-06-13,geo:US,2,2,1.0,1.0,1.0,1.0,9,v2.0.0
2026-06-13,global,2,2,1.0,1.0,1.0,1.0,9,v2.0.0
2026-06-13,tier:T1,2,2,1.0,1.0,1.0,1.0,9,v2.0.0
2026-06-14,geo:EU,1,1,1.0,1.0,1.0,1.0,8,v2.0.0
2026-06-14,geo:US,2,2,1.0,1.0,1.0,1.0,8,v2.0.0
2026-06-14,global,2,2,1.0,1.0,1.0,1.0,8,v2.0.0
2026-06-14,tier:T1,2,2,1.0,1.0,1.0,1.0,8,v2.0.0
2026-06-15,geo:EU,1,1,1.0,1.0,1.0,1.0,5,v2.0.0
2026-06-15,geo:US,3,2,0.6667,0.0,1.0,1.0,5,v2.0.0
2026-06-15,global,3,2,0.6667,0.0,1.0,1.0,5,v2.0.0
2026-06-15,tier:T1,2,2,1.0,1.0,1.0,1.0,5,v2.0.0
2026-06-16,geo:EU,1,1,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-16,geo:US,3,2,0.6667,0.0,1.0,1.0,4,v2.0.0
2026-06-16,global,3,2,0.6667,0.0,1.0,1.0,4,v2.0.0
2026-06-16,tier:T1,2,2,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-17,geo:EU,1,1,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-17,geo:US,3,2,0.6667,0.0,1.0,1.0,4,v2.0.0
2026-06-17,global,3,2,0.6667,0.0,1.0,1.0,4,v2.0.0
2026-06-17,tier:T1,2,2,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-18,geo:EU,1,1,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-18,geo:US,3,2,0.6667,0.0,1.0,1.0,4,v2.0.0
2026-06-18,global,3,2,0.6667,0.0,1.0,1.0,4,v2.0.0
2026-06-18,tier:T1,2,2,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-19,geo:EU,1,1,1.0,1.0,1.0,1.0,5,v2.0.0
2026-06-19,geo:US,3,2,0.6667,0.0,1.0,1.0,5,v2.0.0
2026-06-19,global,3,2,0.6667,0.0,1.0,1.0,5,v2.0.0
2026-06-19,tier:T1,2,2,1.0,1.0,1.0,1.0,5,v2.0.0
2026-06-20,geo:EU,1,1,1.0,1.0,1.0,1.0,3,v2.0.0
2026-06-20,geo:US,3,2,0.6667,0.0,1.0,1.0,3,v2.0.0
2026-06-20,global,3,2,0.6667,0.0,1.0,1.0,3,v2.0.0
2026-06-20,tier:T1,2,2,1.0,1.0,1.0,1.0,3,v2.0.0
2026-06-21,geo:EU,1,1,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-21,geo:US,3,2,0.6667,0.0,1.0,1.0,4,v2.0.0
2026-06-21,global,3,2,0.6667,0.0,1.0,1.0,4,v2.0.0
2026-06-21,tier:T1,2,2,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-22,geo:EU,1,1,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-22,geo:US,3,2,0.6667,0.0,1.0,1.0,4,v2.0.0
2026-06-22,global,3,2,0.6667,0.0,1.0,1.0,4,v2.0.0
2026-06-22,tier:T1,2,2,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-23,geo:EU,1,1,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-23,geo:US,3,2,0.9167,0.75,1.0,1.0,4,v2.0.0
2026-06-23,global,3,2,0.9167,0.75,1.0,1.0,4,v2.0.0
2026-06-23,tier:T1,2,2,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-24,geo:EU,1,1,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-24,geo:US,3,2,0.6667,0.0,1.0,1.0,4,v2.0.0
2026-06-24,global,3,2,0.6667,0.0,1.0,1.0,4,v2.0.0
2026-06-24,tier:T1,2,2,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-25,geo:EU,1,1,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-25,geo:US,3,2,0.6667,0.0,1.0,1.0,4,v2.0.0
2026-06-25,global,3,2,0.6667,0.0,1.0,1.0,4,v2.0.0
2026-06-25,tier:T1,2,2,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-26,geo:EU,1,1,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-26,geo:US,3,2,0.8333,0.5,1.0,1.0,4,v2.0.0
2026-06-26,global,3,2,0.8333,0.5,1.0,1.0,4,v2.0.0
2026-06-26,tier:T1,2,2,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-27,geo:EU,1,1,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-27,geo:US,2,2,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-27,global,2,2,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-27,tier:T1,2,2,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-28,geo:EU,1,1,1.0,1.0,1.0,1.0,3,v2.0.0
2026-06-28,geo:US,3,2,0.6667,0.0,1.0,1.0,3,v2.0.0
2026-06-28,global,3,2,0.6667,0.0,1.0,1.0,3,v2.0.0
2026-06-28,tier:T1,2,2,1.0,1.0,1.0,1.0,3,v2.0.0
2026-06-29,geo:EU,1,1,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-29,geo:US,3,2,0.6667,0.0,1.0,1.0,4,v2.0.0
2026-06-29,global,3,2,0.6667,0.0,1.0,1.0,4,v2.0.0
2026-06-29,tier:T1,2,2,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-30,geo:EU,1,1,1.0,1.0,1.0,1.0,4,v2.0.0
2026-06-30,geo:US,3,2,0.6667,0.0,1.0,1.0,4,v2.0.0
2026-06-30,global,3,2,0.6667,0.0,1.0,1.0,4,v2.0.0
2026-06-30,tier:T1,2,2,1.0,1.0,1.0,1.0,4,v2.0.0
2026-07-01,geo:EU,1,1,1.0,1.0,1.0,1.0,5,v2.0.0
2026-07-01,geo:US,3,2,0.6667,0.0,1.0,1.0,5,v2.0.0
2026-07-01,global,3,2,0.6667,0.0,1.0,1.0,5,v2.0.0
2026-07-01,tier:T1,2,2,1.0,1.0,1.0,1.0,5,v2.0.0
2026-07-02,geo:EU,1,1,1.0,1.0,1.0,1.0,6,v2.0.0
2026-07-02,geo:US,3,2,0.6667,0.0,1.0,1.0,6,v2.0.0
2026-07-02,global,3,2,0.6667,0.0,1.0,1.0,6,v2.0.0
2026-07-02,tier:T1,2,2,1.0,1.0,1.0,1.0,6,v2.0.0
2026-07-03,geo:EU,1,1,1.0,1.0,1.0,1.0,6,v2.0.0
