as_of_date,cycle,chip_slug,utilization,total_gpus,idle_gpus,n_machines,n_machines_fully_rented,n_machines_idle_ge_8,methodology_version
2026-05-13,2026-05-13-1400,h200-sxm,0.9901,302,3,43,41,0,v2.0.0
2026-05-13,2026-05-13-1800,h200-sxm,0.9448,326,18,46,43,2,v2.0.0
2026-05-14,2026-05-14-0600,h200-sxm,0.9613,310,12,44,42,1,v2.0.0
2026-05-14,2026-05-14-1000,h200-sxm,0.9338,287,19,42,38,2,v2.0.0
2026-05-14,2026-05-14-1400,h200-sxm,0.9895,287,3,42,40,0,v2.0.0
2026-05-14,2026-05-14-1800,h200-sxm,0.9835,303,5,44,42,0,v2.0.0
2026-05-15,2026-05-15-0600,h200-sxm,0.9843,319,5,46,44,0,v2.0.0
2026-05-15,2026-05-15-1000,h200-sxm,0.9817,327,6,47,44,0,v2.0.0
2026-05-15,2026-05-15-1400,h200-sxm,0.9775,311,7,45,42,0,v2.0.0
2026-05-15,2026-05-15-1800,h200-sxm,0.977,304,7,45,41,0,v2.0.0
2026-05-16,2026-05-16-0600,h200-sxm,0.9971,344,1,50,49,0,v2.0.0
2026-05-16,2026-05-16-1000,h200-sxm,0.9968,312,1,46,45,0,v2.0.0
2026-05-16,2026-05-16-1400,h200-sxm,0.9656,320,11,47,44,1,v2.0.0
2026-05-16,2026-05-16-1800,h200-sxm,0.9695,328,10,48,43,0,v2.0.0
2026-05-17,2026-05-17-0600,h200-sxm,0.9647,312,11,46,43,1,v2.0.0
2026-05-17,2026-05-17-1000,h200-sxm,0.9113,327,29,47,42,3,v2.0.0
2026-05-17,2026-05-17-1400,h200-sxm,0.9076,314,29,47,41,3,v2.0.0
2026-05-17,2026-05-17-1800,h200-sxm,0.9281,306,22,46,39,2,v2.0.0
2026-05-18,2026-05-18-1000,h200-sxm,0.8932,337,36,50,42,3,v2.0.0
2026-05-18,2026-05-18-1400,h200-sxm,0.9286,308,22,48,42,2,v2.0.0
2026-05-18,2026-05-18-1800,h200-sxm,0.972,322,9,49,44,0,v2.0.0
2026-05-19,2026-05-19-1000,h200-sxm,0.969,323,10,50,47,1,v2.0.0
2026-05-19,2026-05-19-1400,h200-sxm,0.9575,306,13,47,42,1,v2.0.0
2026-05-19,2026-05-19-1800,h200-sxm,0.9481,308,16,48,43,1,v2.0.0
2026-05-20,2026-05-20-1000,h200-sxm,0.9682,283,9,45,43,1,v2.0.0
2026-05-20,2026-05-20-1400,h200-sxm,0.9873,314,4,48,45,0,v2.0.0
2026-05-20,2026-05-20-1800,h200-sxm,0.9794,339,7,52,48,0,v2.0.0
2026-05-21,2026-05-21-1000,h200-sxm,1.0,338,0,51,51,0,v2.0.0
2026-05-21,2026-05-21-1400,h200-sxm,0.9303,330,23,50,45,2,v2.0.0
2026-05-21,2026-05-21-1800,h200-sxm,0.9673,306,10,47,44,1,v2.0.0
2026-05-22,2026-05-22-1000,h200-sxm,1.0,314,0,48,48,0,v2.0.0
