as_of_date,collected_at,collection_window_id,source_name,source_display_name,silicon_id,gpu_model,form_factor,commitment_term,interruptibility,region,cheapest_usd_hour,median_usd_hour,n_listings,methodology_version
2026-06-01,2026-06-01T05:25:58.121276+00:00,2026-05-31-1800,vast_ai_verified,Vast.ai (verified),a100-sxm-80gb,A100,SXM,OnDemand,NonInterruptible,Other,1.0667,1.2487,4,v2.0.0
2026-06-01,2026-06-01T05:26:01.240101+00:00,2026-05-31-1800,runpod_cluster,RunPod · Cluster,a100-sxm-80gb,A100,SXM,OnDemand,NonInterruptible,Other,1.7880,,,v2.0.0
2026-06-01,2026-06-01T05:26:01.240101+00:00,2026-05-31-1800,runpod_community,RunPod · Community,a100-sxm-80gb,A100,SXM,OnDemand,NonInterruptible,Other,1.3900,,,v2.0.0
2026-06-01,2026-06-01T05:26:01.240101+00:00,2026-05-31-1800,runpod_secure,RunPod · Secure,a100-sxm-80gb,A100,SXM,OnDemand,NonInterruptible,Other,1.4900,,,v2.0.0
2026-06-01,2026-06-01T12:17:42.361864+00:00,2026-06-01-0600,runpod_cluster,RunPod · Cluster,a100-sxm-80gb,A100,SXM,OnDemand,NonInterruptible,Other,1.7880,,,v2.0.0
2026-06-01,2026-06-01T12:17:42.361864+00:00,2026-06-01-0600,runpod_community,RunPod · Community,a100-sxm-80gb,A100,SXM,OnDemand,NonInterruptible,Other,1.3900,,,v2.0.0
2026-06-01,2026-06-01T12:17:42.361864+00:00,2026-06-01-0600,runpod_secure,RunPod · Secure,a100-sxm-80gb,A100,SXM,OnDemand,NonInterruptible,Other,1.4900,,,v2.0.0
2026-06-01,2026-06-01T18:24:51.773277+00:00,2026-06-01-1000,runpod_cluster,RunPod · Cluster,a100-sxm-80gb,A100,SXM,OnDemand,NonInterruptible,Other,1.7880,,,v2.0.0
2026-06-01,2026-06-01T18:24:51.773277+00:00,2026-06-01-1000,runpod_community,RunPod · Community,a100-sxm-80gb,A100,SXM,OnDemand,NonInterruptible,Other,1.3900,,,v2.0.0
2026-06-01,2026-06-01T18:24:51.773277+00:00,2026-06-01-1000,runpod_secure,RunPod · Secure,a100-sxm-80gb,A100,SXM,OnDemand,NonInterruptible,Other,1.4900,,,v2.0.0
2026-06-01,2026-06-01T21:50:10.975063+00:00,2026-06-01-1400,runpod_cluster,RunPod · Cluster,a100-sxm-80gb,A100,SXM,OnDemand,NonInterruptible,Other,1.7880,,,v2.0.0
2026-06-01,2026-06-01T21:50:10.975063+00:00,2026-06-01-1400,runpod_community,RunPod · Community,a100-sxm-80gb,A100,SXM,OnDemand,NonInterruptible,Other,1.3900,,,v2.0.0
